video_id,segment_index,n_segments,timestamp_start,timestamp_end,input,target_sentence,target_caption
v_QOlSCBRmfWY,0,3,0.83,19.86,[0.8s] a woman in a black top is standing on the floor | [7.2s] a woman is dancing in an empty room | [13.5s] a woman standing on one leg in an empty room | [19.9s] a woman is laying on the floor in an empty room,A young woman is seen standing in a room and leads into her dancing.,A young woman is seen standing in a room and leads into her dancing. The girl dances around the room while the camera captures her movements. She continues dancing around the room and ends by laying on the floor.
v_QOlSCBRmfWY,1,3,17.37,60.81,[17.4s] a woman doing a handstant on the floor | [23.6s] a woman is doing a handstant on the floor | [29.8s] a woman is sitting on the floor in an empty room | [36.0s] a woman is dancing in an empty room | [42.2s] a person doing a handstant in a room | [48.4s] a woman laying on the floor in a gym | [54.6s] a woman sitting on the floor in an empty room | [60.8s] a woman is dancing in an empty room,The girl dances around the room while the camera captures her movements.,A young woman is seen standing in a room and leads into her dancing. The girl dances around the room while the camera captures her movements. She continues dancing around the room and ends by laying on the floor.
v_QOlSCBRmfWY,2,3,56.26,79.42,[56.3s] a woman is doing a handstant on the floor | [62.0s] a woman is standing on the floor in an empty room | [67.8s] a woman is dancing in an empty room | [73.6s] a woman is sitting on the floor in an empty room | [79.4s] a woman laying on the floor in an empty room,She continues dancing around the room and ends by laying on the floor.,A young woman is seen standing in a room and leads into her dancing. The girl dances around the room while the camera captures her movements. She continues dancing around the room and ends by laying on the floor.
v_nwznKOuZM7w,0,2,0.0,15.51,[0.0s] a man standing in front of a mirror | [7.8s] a person standing in front of a mirror | [15.5s] a man is standing in the corner of his room,Two people are seen moving around a kitchen quickly performing various tasks and sitting down.,Two people are seen moving around a kitchen quickly performing various tasks and sitting down. They then wax down a ski in the kitchen while continuing to move around.
v_nwznKOuZM7w,1,2,11.39,31.564866666666667,[11.4s] a man standing in front of a mirror | [16.4s] a man sitting at his desk in an office | [21.5s] a man standing in front of a mirror | [26.5s] a man is standing in front of a computer | [31.6s] a man standing in a kitchen next to a table,They then wax down a ski in the kitchen while continuing to move around.,Two people are seen moving around a kitchen quickly performing various tasks and sitting down. They then wax down a ski in the kitchen while continuing to move around.
v_ogQozSI5V8U,0,3,0.0,7.49,[3.7s] a man is walking down the hallway in his house,We see a hallway with a wooden floor.,We see a hallway with a wooden floor. A dog in socks walks slowly out onto the floor as a lady films him. The dog turns around and goes back to the other room.
v_ogQozSI5V8U,1,3,7.49,18.09,[7.5s] a man is walking down the hallway of an apartment | [18.1s] a dog is standing in the hallway of a house,A dog in socks walks slowly out onto the floor as a lady films him.,We see a hallway with a wooden floor. A dog in socks walks slowly out onto the floor as a lady films him. The dog turns around and goes back to the other room.
v_ogQozSI5V8U,2,3,19.37,36.5,[19.4s] a dog is standing in the hallway of a house | [25.1s] a dog that is standing in the hallway | [30.8s] a dog is standing on its hinds in the hallway | [36.5s] a man is walking down the hallway in his house,The dog turns around and goes back to the other room.,We see a hallway with a wooden floor. A dog in socks walks slowly out onto the floor as a lady films him. The dog turns around and goes back to the other room.
v_nHE7u40plD0,0,4,0.0,145.44,[0.0s] a group of people sitting on the ground | [20.8s] two girls are sitting on the sidewalk in front of a car | [41.6s] two girls are sitting on the sidewalk and talking to each other people | [62.3s] two girls sitting on the sidewalk talking to each other people | [83.1s] a group of people playing with balloons in the street | [103.9s] a man and woman playing drums on the street | [124.7s] a woman sitting on a chair in front of a crowd | [145.4s] two women sitting on the sidewalk in front of a building,A woman and a man are sitting on the sidewalk playing music.,A woman and a man are sitting on the sidewalk playing music. People stand next to them and watch them play. A little boy holding a yellow ball walks by. A man poses for a picture in front of them.
v_nHE7u40plD0,1,4,67.68,72.78,[70.2s] a woman is sitting on the ground in front of a building,People stand next to them and watch them play.,A woman and a man are sitting on the sidewalk playing music. People stand next to them and watch them play. A little boy holding a yellow ball walks by. A man poses for a picture in front of them.
v_nHE7u40plD0,2,4,82.97,87.33,[85.2s] a group of people sitting on the sidewalk,A little boy holding a yellow ball walks by.,A woman and a man are sitting on the sidewalk playing music. People stand next to them and watch them play. A little boy holding a yellow ball walks by. A man poses for a picture in front of them.
