video_id,segment_index,n_segments,timestamp_start,timestamp_end,input,target_sentence,target_caption
v_QEdbqJijx1w,0,3,0.0,14.49,[0.0s] a woman sitting in front of a laptop computer | [7.2s] a woman sitting in front of a laptop computer | [14.5s] a woman is sitting at her desk writing,A woman is seen speaking to the camera while sitting in a chair.,A woman is seen speaking to the camera while sitting in a chair. She then holds up a contact lens and puts one in her eye. She puts another contact in her eye and smiles to the camera.
v_QEdbqJijx1w,1,3,15.25,44.61,[15.2s] a woman is sitting in front of a mirror | [20.1s] a woman is sitting down with her hands in the air | [25.0s] a woman sitting on top of a bed | [29.9s] a woman sitting at a table eating food | [34.8s] a woman sitting in front of a laptop computer | [39.7s] a woman sitting in front of a laptop computer | [44.6s] a woman sitting in front of a laptop computer,She then holds up a contact lens and puts one in her eye.,A woman is seen speaking to the camera while sitting in a chair. She then holds up a contact lens and puts one in her eye. She puts another contact in her eye and smiles to the camera.
v_QEdbqJijx1w,2,3,38.13,75.87,[38.1s] a woman in a black dress sitting at a table | [43.5s] a woman sitting in front of a laptop computer | [48.9s] a woman sitting in front of a laptop computer | [54.3s] a young girl is sitting on the floor with her hands together | [59.7s] a woman sitting in front of a computer | [65.1s] a woman sitting at a table with her eyes closed | [70.5s] a woman sitting in front of a computer | [75.9s] a woman sitting in front of a laptop computer,She puts another contact in her eye and smiles to the camera.,A woman is seen speaking to the camera while sitting in a chair. She then holds up a contact lens and puts one in her eye. She puts another contact in her eye and smiles to the camera.
v_k42CKebiSLA,0,2,2.19,12.02,[2.2s] a car driving down the street with traffic lights on | [12.0s] a group of men standing in a bathroom,A man travels to Japan to study how to be a sumo wrestler.,A man travels to Japan to study how to be a sumo wrestler. The man gets training and learns the techniques of sumo.
v_k42CKebiSLA,1,2,13.48,72.79166666666667,[13.5s] a man in underwear is looking at his reflection | [22.0s] a horse is walking in the dirt | [30.4s] a man standing in front of a door | [38.9s] a shirtless man standing in front of a mirror | [47.4s] a group of men in underwear are getting fucked | [55.8s] a group of sumo wrestlers fighting in an arena | [64.3s] a man with no shirt standing in front of a window | [72.8s] a group of men standing around a table in a room,The man gets training and learns the techniques of sumo.,A man travels to Japan to study how to be a sumo wrestler. The man gets training and learns the techniques of sumo.
v_s0YJOzALDNg,0,3,0.0,9.99,[0.0s] a group of people in bumper cars at an amusement | [10.0s] a group of people riding bumpers at an amusement,A group of people are under a covering.,A group of people are under a covering. They are riding around in a series of bumper cars. The cars bump into each other as they drive around.
v_s0YJOzALDNg,1,3,12.25,51.26,[12.2s] a group of people riding bumper cars at an amusement | [17.8s] a group of people riding bumper cars at an amusement | [23.4s] a group of people riding bumpers at an amusement | [29.0s] a group of people in bumper cars at an amusement | [34.5s] a group of people riding bumper cars at an amusement | [40.1s] a group of people riding bumper cars at an amusement | [45.7s] a group of people riding bumpers at an amusement | [51.3s] a group of people sitting at a bar,They are riding around in a series of bumper cars.,A group of people are under a covering. They are riding around in a series of bumper cars. The cars bump into each other as they drive around.
v_s0YJOzALDNg,2,3,52.88,64.41379310344827,[52.9s] a group of people riding bumpers in an indoor area | [64.4s] the water is red,The cars bump into each other as they drive around.,A group of people are under a covering. They are riding around in a series of bumper cars. The cars bump into each other as they drive around.
v_uE_8WuNO7cA,0,7,0.0,5.88,[2.9s] how to care a jack lanterner,We see an opening screen with a moon.,We see an opening screen with a moon. A lady appears holding a pumpkin. We see the lady in the lower left hand of the screen talking. We see a person open and clean a pumpkin. We see the person carve a drawing on a pumpkin. We see a person draw on the pumpkin with a black marker. We see the finished jack o lantern with a candle in it.
v_uE_8WuNO7cA,1,7,5.88,18.47,[5.9s] a full moon in the dark sky | [12.2s] a woman holding up a pumpkin with the moon behind her | [18.5s] a woman standing in front of a full moon,A lady appears holding a pumpkin.,We see an opening screen with a moon. A lady appears holding a pumpkin. We see the lady in the lower left hand of the screen talking. We see a person open and clean a pumpkin. We see the person carve a drawing on a pumpkin. We see a person draw on the pumpkin with a black marker. We see the finished jack o lantern with a candle in it.
v_uE_8WuNO7cA,2,7,18.47,164.55,[18.5s] a woman standing in front of a full moon | [39.3s] a woman is carving a pumpkin in the kitchen | [60.2s] a woman wearing a mask and holding a magazine | [81.1s] a dog is looking at a pumpkin in the kitchen | [101.9s] a person carving a pumpkin in the kitchen | [122.8s] a little girl is carving a pumpkin for halloween | [143.7s] a woman is carving pumpkins in the kitchen | [164.6s] a little girl sitting in front of a pumpkin,We see the lady in the lower left hand of the screen talking.,We see an opening screen with a moon. A lady appears holding a pumpkin. We see the lady in the lower left hand of the screen talking. We see a person open and clean a pumpkin. We see the person carve a drawing on a pumpkin. We see a person draw on the pumpkin with a black marker. We see the finished jack o lantern with a candle in it.
v_uE_8WuNO7cA,3,7,18.47,72.2,[18.5s] a woman standing in front of a full moon | [26.1s] how to carve a pumpkin | [33.8s] how to carve a pumpkin | [41.5s] how to carve a pumpkin | [49.2s] a pumpkin sitting on top of a counter | [56.8s] an image of a person in a costume | [64.5s] a person is putting something into a bowl | [72.2s] a pumpkin sitting on top of a kitchen counter,We see a person open and clean a pumpkin.,We see an opening screen with a moon. A lady appears holding a pumpkin. We see the lady in the lower left hand of the screen talking. We see a person open and clean a pumpkin. We see the person carve a drawing on a pumpkin. We see a person draw on the pumpkin with a black marker. We see the finished jack o lantern with a candle in it.
v_uE_8WuNO7cA,4,7,72.2,130.97,[72.2s] a pumpkin sitting on top of a kitchen counter | [80.6s] how to carve a pumpkin | [89.0s] a little girl in a witch costume is making a pumpkin | [97.4s] a person is carving a pumpkin in the kitchen | [105.8s] a person carving a pumpkin on top of a sink | [114.2s] a woman is carving a pumpkin in the kitchen | [122.6s] how to carve a pumpkin | [131.0s] a person carving a pumpkin in the kitchen,We see the person carve a drawing on a pumpkin.,We see an opening screen with a moon. A lady appears holding a pumpkin. We see the lady in the lower left hand of the screen talking. We see a person open and clean a pumpkin. We see the person carve a drawing on a pumpkin. We see a person draw on the pumpkin with a black marker. We see the finished jack o lantern with a candle in it.
v_uE_8WuNO7cA,5,7,136.84,152.79,[136.8s] a person carving a pumpkin on top of a counter | [144.8s] a person carving a pumpkin with a knife | [152.8s] how to carve a pumpkin,We see a person draw on the pumpkin with a black marker.,We see an opening screen with a moon. A lady appears holding a pumpkin. We see the lady in the lower left hand of the screen talking. We see a person open and clean a pumpkin. We see the person carve a drawing on a pumpkin. We see a person draw on the pumpkin with a black marker. We see the finished jack o lantern with a candle in it.
v_uE_8WuNO7cA,6,7,151.95,167.8,[151.9s] how to carve a pumpkin | [159.9s] a little girl is standing next to a pumpkin | [167.8s] a black and white photo of the moon in the sky,We see the finished jack o lantern with a candle in it.,We see an opening screen with a moon. A lady appears holding a pumpkin. We see the lady in the lower left hand of the screen talking. We see a person open and clean a pumpkin. We see the person carve a drawing on a pumpkin. We see a person draw on the pumpkin with a black marker. We see the finished jack o lantern with a candle in it.
v_CNH37tJNzFE,0,3,0.65,39.0,[0.7s] the inside of a car is shown in this image | [6.1s] a man is sitting in the driver ' s seat | [11.6s] a man is opening the trunk of his car | [17.1s] a man fixing the tire on his car | [22.6s] how to change a flat tire | [28.0s] a man is changing the tire on his car | [33.5s] how to change a flat tire youtube | [39.0s] how to fix a car ' s exhaust system,A close up of a gear shaft is seen following by someone opening a trunk and pulling a tire out.,A close up of a gear shaft is seen following by someone opening a trunk and pulling a tire out. The person puts a jack under the car and begins unscrewing the tire and taking it off. The person puts a new tire on and screws it in place while taking off the jack and putting the hubcap back on.
v_CNH37tJNzFE,1,3,40.95,99.44,[41.0s] the underside of a car is shown in this image | [49.3s] a car tire is shown on the ground | [57.7s] how to change a flat tire | [66.0s] a man is fixing the tire of a car | [74.4s] a man sitting on the ground next to a car | [82.7s] how to change a tire on a car | [91.1s] how to change a wheel hub | [99.4s] a man working on a tire with a wren,The person puts a jack under the car and begins unscrewing the tire and taking it off.,A close up of a gear shaft is seen following by someone opening a trunk and pulling a tire out. The person puts a jack under the car and begins unscrewing the tire and taking it off. The person puts a new tire on and screws it in place while taking off the jack and putting the hubcap back on.
v_CNH37tJNzFE,2,3,71.49,127.39,[71.5s] a man is fixing the tire on his car | [79.5s] how to change a flat tire | [87.5s] how to change a flat tire | [95.4s] how to change a tire on a car | [103.4s] how to replace a wheel on a car | [111.4s] how to change a flat tire youtube | [119.4s] how to change a tire on a car | [127.4s] how to change a tire,The person puts a new tire on and screws it in place while taking off the jack and putting the hubcap back on.,A close up of a gear shaft is seen following by someone opening a trunk and pulling a tire out. The person puts a jack under the car and begins unscrewing the tire and taking it off. The person puts a new tire on and screws it in place while taking off the jack and putting the hubcap back on.
